"","order_entered","site","date","tide","investigator","recorded_fish_id","id","phylum","subphylum","class","subclass","superorder","order","suborder","infraorder","superfamily","family","genus","species","group","common_name","diversity","taxa","zone_trophic","zone","count","empty","notes","entered","checked","site_code","fish_id","month","season","sex","tl_mm","sl_mm","lifestage"
"1",410,"Refugio",2019-09-05,NA,"Beresford",57,"Megalorchestia corniculata","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Talitridae","Talitroidea","Talitridae","Megalorchestia","corniculata","Amphipod","Beach hopper","Megalorchestia","Beach hopper","Beach kelp associated","Beach",4,"No",NA,"LB","JM 2/16/2021",2,"2_2019-09-05_57",9,"Fall","Juvenile",100,75,"Juvenile"
"2",411,"Refugio",2019-09-05,NA,"Beresford",57,"Megalorchestia spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Talitridae","Talitroidea","Talitridae","Megalorchestia","NA","Amphipod","Beach hopper","Megalorchestia","Beach hopper","Beach kelp associated","Beach",1,"No","Mega spp is either minor or californiana","LB","JM 2/16/2021",2,"2_2019-09-05_57",9,"Fall","Juvenile",100,75,"Juvenile"
"3",74,"R Beach",2020-07-20,"Spring","Madden",161,"Megalorchestia spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Talitridae","Talitroidea","Talitridae","Megalorchestia","NA","Amphipod","Beach hopper","Megalorchestia","Beach hopper","Beach kelp associated","Beach",1,"No","benedicti or corniculata","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_161",7,"Summer","Male",175,140,"Adult"
"4",291,"Refugio",2019-06-26,NA,"Beresford",19,"Megalorchestia spp.","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Talitridae","Talitroidea","Talitridae","Megalorchestia","NA","Amphipod","Beach hopper","Megalorchestia","Beach hopper","Beach kelp associated","Beach",3,"No",NA,"LB","JM 2/16/2021",2,"2_2019-06-26_19",6,"Summer",NA,79,62,"Juvenile"
"5",143,"Percos",2020-10-16,NA,"Madden",300,"Fucellia spp. larva","Arthropoda","Hexapoda","Insecta","NA","NA","Diptera","Brachycera","Muscomorpha","Muscoidea","Anthomyiidae","Fucellia","NA","Anthomyiidae","Kelp fly","Fucellia","Kelp fly","Beach kelp associated","Beach",10,"No","costalis or rufitibia based on spiracles","JM 1/28/2021","JM 2/16/2021",1,"1_2020-10-16_300",10,"Fall","Male",262,207,"Adult"
"6",144,"Percos",2020-10-16,NA,"Madden",300,"Fucellia spp. pupa","Arthropoda","Hexapoda","Insecta","NA","NA","Diptera","Brachycera","Muscomorpha","Muscoidea","Anthomyiidae","Fucellia","NA","Anthomyiidae","Kelp fly","Fucellia","Kelp fly","Beach kelp associated","Beach",1,"No",NA,"JM 1/28/2021","JM 2/16/2021",1,"1_2020-10-16_300",10,"Fall","Male",262,207,"Adult"
"7",76,"R Beach",2020-07-20,"Spring","Beresford",162,"Ancinus granulatus","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Sphaeromatidea","NA","Sphaeromatoidea","Ancinidae","Ancinus","granulatus","Isopod","Isopod","Ancinus","Intertidal isopod","Other beach","Beach",1,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_162",7,"Summer","Female",164,127,"Juvenile"
"8",97,"R Beach",2020-07-20,"Spring","Beresford",167,"Ancinus granulatus","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Sphaeromatidea","NA","Sphaeromatoidea","Ancinidae","Ancinus","granulatus","Isopod","Isopod","Ancinus","Intertidal isopod","Other beach","Beach",2,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_167",7,"Summer","Female",160,125,"Juvenile"
"9",237,"Refugio",2020-07-10,NA,"Madden",113,"Excirolana chiltoni","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","chiltoni","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",2,"No","2 tails; partials","JM 1/28/2021","JM 2/16/2021",2,"2_2020-07-10_113",7,"Summer","Male",163,127,"Juvenile"
"10",182,"Percos",2020-07-26,NA,"Madden",182,"Excirolana chiltoni","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","NA","Cymothooidea","Cirolanidae","Excirolana","chiltoni","Isopod","Isopod","Excirolana chiltoni","Intertidal isopod","Other beach","Beach",3,"No","one might be liguifrons","JM 1/28/2021","JM 2/16/2021",1,"1_2020-07-26_182",7,"Summer","Male",177,138,"Adult"
